Liczba_obserwacji,Liczba_grup,Czas_wykonania,Biblioteka,RAM
150000,10000,69.3297,statsmodel_formula,21.64
160000,10000,70.3562,statsmodel_formula,21.07
170000,10000,71.9662,statsmodel_formula,20.60
180000,10000,70.7182,statsmodel_formula,18.77
190000,10000,68.8216,statsmodel_formula,22.45
200000,10000,66.6766,statsmodel_formula,19.68
210000,10000,69.168,statsmodel_formula,19.74
220000,10000,65.2247,statsmodel_formula,21.43
230000,10000,65.5215,statsmodel_formula,26.27
240000,10000,67.93,statsmodel_formula,27.07
250000,10000,67.1588,statsmodel_formula,22.79
260000,10000,68.7368,statsmodel_formula,22.59
270000,10000,73.0299,statsmodel_formula,26.54
280000,10000,79.3773,statsmodel_formula,26.93
290000,10000,74.2092,statsmodel_formula,28.02
300000,10000,71.4218,statsmodel_formula,27.68
310000,10000,72.8809,statsmodel_formula,28.81
320000,10000,68.7927,statsmodel_formula,29.30
330000,10000,73.2666,statsmodel_formula,31.60
340000,10000,69.1416,statsmodel_formula,31.08
350000,10000,75.6207,statsmodel_formula,32.15
360000,10000,72.1917,statsmodel_formula,30.52
370000,10000,73.6142,statsmodel_formula,34.01
380000,10000,74.5968,statsmodel_formula,34.85
390000,10000,74.6616,statsmodel_formula,32.66
400000,10000,70.9801,statsmodel_formula,36.10
410000,10000,69.2636,statsmodel_formula,36.23
420000,10000,75.5476,statsmodel_formula,37.66
430000,10000,72.7437,statsmodel_formula,36.49
440000,10000,75.1736,statsmodel_formula,37.66
450000,10000,75.0299,statsmodel_formula,39.30
460000,10000,73.6826,statsmodel_formula,39.04
470000,10000,72.3916,statsmodel_formula,39.43
480000,10000,72.7185,statsmodel_formula,38.75
490000,10000,78.9561,statsmodel_formula,41.41
500000,10000,73.0535,statsmodel_formula,41.55
510000,10000,71.0098,statsmodel_formula,47.60
520000,10000,71.288,statsmodel_formula,46.20
530000,10000,77.8908,statsmodel_formula,46.00
540000,10000,76.0378,statsmodel_formula,47.07
550000,10000,72.9158,statsmodel_formula,47.02
560000,10000,74.6629,statsmodel_formula,47.58
570000,10000,84.2162,statsmodel_formula,46.74
580000,10000,72.4126,statsmodel_formula,52.11
590000,10000,75.0599,statsmodel_formula,52.61
600000,10000,74.2041,statsmodel_formula,52.66
610000,10000,77.7807,statsmodel_formula,53.79
620000,10000,87.1407,statsmodel_formula,53.07
630000,10000,81.2185,statsmodel_formula,55.37
640000,10000,71.4144,statsmodel_formula,57.55
650000,10000,71.9682,statsmodel_formula,60.93
660000,10000,70.532,statsmodel_formula,67.56
670000,10000,73.0147,statsmodel_formula,63.09
680000,10000,72.9794,statsmodel_formula,63.44
690000,10000,71.8427,statsmodel_formula,65.26
700000,10000,71.4921,statsmodel_formula,64.57
710000,10000,74.3391,statsmodel_formula,65.48
720000,10000,72.3549,statsmodel_formula,68.93
730000,10000,78.7506,statsmodel_formula,44.79
740000,10000,76.9966,statsmodel_formula,74.24
750000,10000,73.3543,statsmodel_formula,73.85
760000,10000,71.3189,statsmodel_formula,74.82
770000,10000,69.348,statsmodel_formula,76.26
780000,10000,72.5666,statsmodel_formula,77.26
790000,10000,70.2261,statsmodel_formula,51.48
800000,10000,70.4706,statsmodel_formula,51.48
810000,10000,74.8174,statsmodel_formula,80.18
820000,10000,71.7377,statsmodel_formula,56.30
830000,10000,70.4254,statsmodel_formula,51.72
840000,10000,71.1111,statsmodel_formula,90.65
850000,10000,70.7584,statsmodel_formula,54.97
860000,10000,72.5922,statsmodel_formula,59.89
870000,10000,70.3869,statsmodel_formula,59.27
880000,10000,69.7039,statsmodel_formula,54.30
890000,10000,78.572,statsmodel_formula,58.23
900000,10000,72.4855,statsmodel_formula,56.17
910000,10000,83.1293,statsmodel_formula,60.32
920000,10000,86.9342,statsmodel_formula,57.98
930000,10000,82.9432,statsmodel_formula,94.36
940000,10000,89.4339,statsmodel_formula,58.14
950000,10000,97.8899,statsmodel_formula,59.20
960000,10000,85.022,statsmodel_formula,59.40
970000,10000,86.0889,statsmodel_formula,59.90
980000,10000,94.978,statsmodel_formula,39.64
990000,10000,106.2931,statsmodel_formula,108.86
1000000,10000,100.4634,statsmodel_formula,67.27
20000,10000,47.7489,statsmodel_matrix,2.55
30000,10000,58.5168,statsmodel_matrix,0.38
40000,10000,59.5057,statsmodel_matrix,0.85
50000,10000,60.8037,statsmodel_matrix,0.01
60000,10000,62.2275,statsmodel_matrix,1.11
70000,10000,60.3222,statsmodel_matrix,4.04
80000,10000,64.2832,statsmodel_matrix,4.36
90000,10000,64.3887,statsmodel_matrix,4.72
100000,10000,66.5856,statsmodel_matrix,4.80
110000,10000,70.41,statsmodel_matrix,0.28
130000,10000,71.3906,statsmodel_matrix,4.58
140000,10000,68.6597,statsmodel_matrix,5.20
150000,10000,69.6371,statsmodel_matrix,3.87
160000,10000,69.7617,statsmodel_matrix,3.80
170000,10000,71.5561,statsmodel_matrix,3.99
180000,10000,72.2391,statsmodel_matrix,4.21
190000,10000,69.101,statsmodel_matrix,4.39
200000,10000,67.543,statsmodel_matrix,4.60
210000,10000,66.5417,statsmodel_matrix,4.83
220000,10000,65.6699,statsmodel_matrix,5.17
230000,10000,65.6278,statsmodel_matrix,5.45
240000,10000,66.5004,statsmodel_matrix,5.57
250000,10000,67.8695,statsmodel_matrix,5.88
260000,10000,67.2577,statsmodel_matrix,6.79
270000,10000,69.3477,statsmodel_matrix,7.03
280000,10000,72.1315,statsmodel_matrix,7.17
290000,10000,75.5519,statsmodel_matrix,7.52
300000,10000,74.3939,statsmodel_matrix,7.75
310000,10000,71.5164,statsmodel_matrix,8.18
320000,10000,72.3176,statsmodel_matrix,8.32
330000,10000,73.8751,statsmodel_matrix,8.61
340000,10000,72.342,statsmodel_matrix,14.25
350000,10000,69.2417,statsmodel_matrix,14.36
360000,10000,70.9907,statsmodel_matrix,14.73
370000,10000,74.7425,statsmodel_matrix,15.70
380000,10000,73.2625,statsmodel_matrix,15.66
390000,10000,75.3836,statsmodel_matrix,14.61
400000,10000,74.5295,statsmodel_matrix,15.01
410000,10000,67.4876,statsmodel_matrix,16.75
420000,10000,76.2534,statsmodel_matrix,15.91
430000,10000,74.0428,statsmodel_matrix,21.38
440000,10000,73.0418,statsmodel_matrix,21.09
450000,10000,76.1439,statsmodel_matrix,21.27
460000,10000,74.6298,statsmodel_matrix,21.98
470000,10000,72.8094,statsmodel_matrix,22.36
480000,10000,72.2868,statsmodel_matrix,22.18
490000,10000,72.3448,statsmodel_matrix,23.06
500000,10000,73.3831,statsmodel_matrix,23.90
510000,10000,71.122,statsmodel_matrix,27.07
520000,10000,70.9587,statsmodel_matrix,28.34
530000,10000,77.4984,statsmodel_matrix,27.98
540000,10000,79.2235,statsmodel_matrix,28.86
550000,10000,75.5202,statsmodel_matrix,30.17
560000,10000,75.4017,statsmodel_matrix,30.52
570000,10000,82.7006,statsmodel_matrix,29.95
580000,10000,79.9565,statsmodel_matrix,31.78
590000,10000,75.2349,statsmodel_matrix,32.23
600000,10000,73.5086,statsmodel_matrix,36.25
610000,10000,75.1134,statsmodel_matrix,34.01
620000,10000,75.8882,statsmodel_matrix,37.23
630000,10000,96.4917,statsmodel_matrix,39.27
640000,10000,76.3351,statsmodel_matrix,38.07
650000,10000,70.7537,statsmodel_matrix,40.02
660000,10000,71.693,statsmodel_matrix,41.28
670000,10000,71.0736,statsmodel_matrix,43.86
680000,10000,73.0894,statsmodel_matrix,44.89
690000,10000,72.4738,statsmodel_matrix,46.12
700000,10000,72.9176,statsmodel_matrix,48.06
710000,10000,73.5856,statsmodel_matrix,46.93
720000,10000,73.6052,statsmodel_matrix,46.89
730000,10000,74.7079,statsmodel_matrix,47.31
740000,10000,82.5964,statsmodel_matrix,53.09
750000,10000,71.206,statsmodel_matrix,49.17
760000,10000,73.6226,statsmodel_matrix,52.07
770000,10000,70.4894,statsmodel_matrix,54.60
780000,10000,71.5149,statsmodel_matrix,54.03
790000,10000,72.5252,statsmodel_matrix,57.00
800000,10000,75.282,statsmodel_matrix,56.89
810000,10000,75.6614,statsmodel_matrix,58.14
820000,10000,72.5544,statsmodel_matrix,57.50
830000,10000,71.8546,statsmodel_matrix,22.86
840000,10000,70.2938,statsmodel_matrix,24.20
850000,10000,71.613,statsmodel_matrix,23.26
860000,10000,73.0949,statsmodel_matrix,64.61
870000,10000,69.2511,statsmodel_matrix,25.92
880000,10000,69.6554,statsmodel_matrix,65.60
890000,10000,71.7586,statsmodel_matrix,25.24
900000,10000,77.6013,statsmodel_matrix,62.82
910000,10000,74.6644,statsmodel_matrix,29.23
920000,10000,81.736,statsmodel_matrix,70.08
930000,10000,81.7641,statsmodel_matrix,29.43
940000,10000,82.5184,statsmodel_matrix,69.89
950000,10000,88.4192,statsmodel_matrix,29.90
960000,10000,86.8599,statsmodel_matrix,71.14
970000,10000,84.0705,statsmodel_matrix,32.34
980000,10000,87.1503,statsmodel_matrix,73.32
990000,10000,100.694,statsmodel_matrix,27.88
1000000,10000,98.2095,statsmodel_matrix,28.17
20000,10000,102.3242,lme4,39.611
30000,10000,0.4304,lme4,53.3305
40000,10000,0.586,lme4,68.874
50000,10000,0.7237,lme4,81.9377
60000,10000,0.8344,lme4,94.8949
70000,10000,0.8612,lme4,112.5606
80000,10000,1.0489,lme4,125.5095
90000,10000,1.2312,lme4,138.4717
100000,10000,1.3955,lme4,151.4666
110000,10000,1.5947,lme4,164.5201
120000,10000,1.5355,lme4,177.6435
130000,10000,1.7237,lme4,190.793
140000,10000,1.7137,lme4,213.4908
150000,10000,2.0038,lme4,226.793
160000,10000,2.1426,lme4,240.1694
170000,10000,2.3378,lme4,253.5326
180000,10000,2.5357,lme4,266.8854
190000,10000,3.1037,lme4,280.2297
200000,10000,3.0991,lme4,293.5636
210000,10000,3.2667,lme4,306.8275
220000,10000,3.5184,lme4,320.0874
230000,10000,3.852,lme4,333.2922
240000,10000,4.3419,lme4,346.5169
250000,10000,4.1132,lme4,359.719
260000,10000,4.1284,lme4,372.9056
270000,10000,3.7606,lme4,404.9868
280000,10000,3.6961,lme4,418.1857
290000,10000,4.1502,lme4,431.4052
300000,10000,4.4828,lme4,444.6313
310000,10000,4.5433,lme4,457.8707
320000,10000,5.8264,lme4,471.103
330000,10000,5.5332,lme4,484.3401
340000,10000,6.6499,lme4,497.5854
350000,10000,5.8065,lme4,510.8129
360000,10000,7.2227,lme4,524.0378
370000,10000,6.5692,lme4,537.261
380000,10000,6.1134,lme4,550.4571
390000,10000,8.4371,lme4,563.6623
400000,10000,5.3135,lme4,576.8346
410000,10000,5.8863,lme4,590.0129
420000,10000,5.7973,lme4,603.1816
430000,10000,7.0655,lme4,616.3346
440000,10000,6.503,lme4,629.489
450000,10000,6.6569,lme4,642.6319
460000,10000,6.6209,lme4,655.779
470000,10000,8.3095,lme4,668.9186
480000,10000,8.0107,lme4,682.0534
490000,10000,9.1796,lme4,695.1914
500000,10000,9.5764,lme4,708.3241
510000,10000,9.3435,lme4,721.4564
520000,10000,9.3985,lme4,734.5888
530000,10000,9.2296,lme4,785.4663
540000,10000,9.7502,lme4,798.5978
550000,10000,10.995,lme4,811.7294
560000,10000,10.8597,lme4,824.8592
570000,10000,11.2978,lme4,837.9901
580000,10000,12.2572,lme4,851.1197
590000,10000,12.177,lme4,864.25
600000,10000,12.5631,lme4,877.3793
610000,10000,12.8519,lme4,890.5095
620000,10000,14.1761,lme4,903.6397
630000,10000,14.3083,lme4,916.7697
640000,10000,15.4733,lme4,929.8996
650000,10000,15.3346,lme4,943.0297
660000,10000,11.287,lme4,956.1597
670000,10000,11.2432,lme4,969.2898
680000,10000,11.5733,lme4,982.4198
690000,10000,13.6228,lme4,995.5499
700000,10000,13.4276,lme4,1008.6796
710000,10000,13.6146,lme4,1021.8097
720000,10000,14.1965,lme4,1034.9401
730000,10000,14.1762,lme4,1048.0698
740000,10000,14.4282,lme4,1061.1999
750000,10000,13.8645,lme4,1074.3299
760000,10000,13.5485,lme4,1087.4596
770000,10000,15.15,lme4,1100.5895
780000,10000,15.4972,lme4,1113.7199
790000,10000,17.1823,lme4,1126.8494
800000,10000,17.659,lme4,1139.98
810000,10000,18.5039,lme4,1153.1097
820000,10000,19.1793,lme4,1166.2395
830000,10000,17.7571,lme4,1179.3697
840000,10000,18.5893,lme4,1192.4996
850000,10000,18.5346,lme4,1205.6297
860000,10000,19.1276,lme4,1218.7599
870000,10000,13.9516,lme4,1231.8896
880000,10000,15.1153,lme4,1245.0198
890000,10000,14.5789,lme4,1258.1498
900000,10000,15.1522,lme4,1271.2803
910000,10000,14.9808,lme4,1284.4097
920000,10000,15.435,lme4,1297.54
930000,10000,14.9957,lme4,1310.6697
940000,10000,15.7605,lme4,1323.8
950000,10000,15.2563,lme4,1336.9299
960000,10000,15.999,lme4,1350.0604
970000,10000,15.9024,lme4,1363.1899
980000,10000,16.7328,lme4,1376.3204
990000,10000,17.4138,lme4,1389.4506
1000000,10000,17.6597,lme4,1402.5798
20000,10000,0.9405,nlme,69.8129
30000,10000,1.2123,nlme,87.8296
40000,10000,1.2995,nlme,108.0329
50000,10000,1.4816,nlme,123.0106
60000,10000,1.5156,nlme,137.4695
70000,10000,1.703,nlme,157.6329
80000,10000,2.1241,nlme,172.0073
90000,10000,2.0731,nlme,188.1919
100000,10000,2.0505,nlme,200.6809
110000,10000,2.3033,nlme,215.015
120000,10000,2.3666,nlme,229.345
130000,10000,2.5389,nlme,243.675
140000,10000,2.6178,nlme,273.2218
150000,10000,2.7167,nlme,282.0282
160000,10000,2.8064,nlme,298.1994
170000,10000,3.3372,nlme,321.7354
180000,10000,3.3157,nlme,326.8594
190000,10000,4.1727,nlme,354.0778
200000,10000,3.8369,nlme,355.5194
210000,10000,4.1073,nlme,369.8494
220000,10000,4.7691,nlme,404.4326
230000,10000,4.3463,nlme,400.3506
240000,10000,4.3033,nlme,414.6806
250000,10000,4.6722,nlme,427.1694
260000,10000,4.9589,nlme,441.4994
270000,10000,4.5368,nlme,489.9452
280000,10000,4.4944,nlme,493.228
290000,10000,4.5184,nlme,507.558
300000,10000,4.7927,nlme,521.888
310000,10000,5.0704,nlme,539.9004
320000,10000,5.515,nlme,570.8012
330000,10000,5.749,nlme,564.878
340000,10000,6.0675,nlme,581.0492
350000,10000,7.7743,nlme,613.7912
360000,10000,6.2905,nlme,607.868
370000,10000,5.8131,nlme,622.198
380000,10000,6.1443,nlme,636.528
390000,10000,7.6459,nlme,650.858
400000,10000,5.3962,nlme,665.188
410000,10000,6.2064,nlme,699.7712
420000,10000,6.1441,nlme,693.848
430000,10000,6.0185,nlme,711.8604
440000,10000,6.218,nlme,722.508
450000,10000,5.9959,nlme,734.9968
460000,10000,6.9353,nlme,753.0092
470000,10000,7.8323,nlme,776.5452
480000,10000,7.2902,nlme,779.828
490000,10000,8.0718,nlme,797.8404
500000,10000,7.3837,nlme,808.488
510000,10000,7.4696,nlme,824.6592
520000,10000,9.0455,nlme,837.148
530000,10000,8.6803,nlme,917.8686
540000,10000,8.2693,nlme,911.9454
550000,10000,9.4309,nlme,926.2754
560000,10000,9.268,nlme,942.4466
570000,10000,9.1634,nlme,954.9354
580000,10000,10.309,nlme,967.4242
590000,10000,10.8001,nlme,990.9602
600000,10000,10.5063,nlme,997.9254
610000,10000,11.5024,nlme,1014.0966
620000,10000,12.1021,nlme,1028.4266
630000,10000,12.0928,nlme,1039.0742
640000,10000,12.2389,nlme,1055.2454
650000,10000,12.2833,nlme,1069.5756
660000,10000,8.6124,nlme,1085.7466
670000,10000,8.4452,nlme,1100.0766
680000,10000,9.0854,nlme,1123.6126
690000,10000,10.1188,nlme,1126.8956
700000,10000,10.0543,nlme,1141.2254
710000,10000,10.559,nlme,1162.9202
720000,10000,10.4285,nlme,1168.0442
730000,10000,10.4537,nlme,1182.3742
740000,10000,11.159,nlme,1202.2278
750000,10000,10.503,nlme,1211.0342
760000,10000,10.1529,nlme,1227.2054
770000,10000,11.3799,nlme,1241.5354
780000,10000,11.3689,nlme,1254.0242
790000,10000,12.912,nlme,1268.3544
800000,10000,13.5775,nlme,1295.5726
810000,10000,14.5409,nlme,1313.585
820000,10000,14.813,nlme,1315.0266
830000,10000,13.2137,nlme,1325.6742
840000,10000,15.4837,nlme,1341.8454
850000,10000,13.1158,nlme,1354.3342
860000,10000,11.9132,nlme,1370.5056
870000,10000,10.4503,nlme,1382.9944
880000,10000,10.5176,nlme,1399.1656
890000,10000,10.7962,nlme,1413.4954
900000,10000,11.1408,nlme,1448.0786
910000,10000,12.9622,nlme,1445.8378
920000,10000,11.0221,nlme,1454.6442
930000,10000,11.009,nlme,1478.1802
940000,10000,11.099,nlme,1494.3514
950000,10000,11.3748,nlme,1499.4754
960000,10000,11.2355,nlme,1513.8054
970000,10000,11.8143,nlme,1526.2942
980000,10000,11.9377,nlme,1546.0438
990000,10000,11.9577,nlme,1556.7954
1000000,10000,12.3468,nlme,1569.2842
20000,10000,1.9184,mgcv,23.4566
30000,10000,2.0186,mgcv,33.1922
40000,10000,1.9823,mgcv,43.4168
50000,10000,1.9807,mgcv,53.1171
60000,10000,1.9687,mgcv,62.8174
70000,10000,1.9331,mgcv,73.5663
80000,10000,2.4063,mgcv,83.2666
90000,10000,2.0974,mgcv,92.9668
100000,10000,2.1521,mgcv,102.6671
110000,10000,2.1328,mgcv,112.4027
120000,10000,2.1848,mgcv,122.103
130000,10000,2.391,mgcv,131.8033
140000,10000,2.2244,mgcv,143.6008
150000,10000,2.3107,mgcv,153.3011
160000,10000,2.3131,mgcv,163.0014
170000,10000,2.4558,mgcv,172.7024
180000,10000,2.7918,mgcv,182.4027
190000,10000,2.7514,mgcv,192.1031
200000,10000,2.75,mgcv,201.8034
210000,10000,2.8644,mgcv,211.5037
220000,10000,2.9502,mgcv,221.204
230000,10000,3.0149,mgcv,230.9044
240000,10000,3.0457,mgcv,240.6047
250000,10000,2.8993,mgcv,250.305
260000,10000,2.8305,mgcv,260.0054
270000,10000,2.6154,mgcv,273.9
280000,10000,2.837,mgcv,283.6003
290000,10000,3.0481,mgcv,293.3009
300000,10000,2.7952,mgcv,303.001
310000,10000,2.8949,mgcv,312.7015
320000,10000,2.8602,mgcv,322.4019
330000,10000,3.0177,mgcv,332.1023
340000,10000,2.98,mgcv,341.8024
350000,10000,3.2806,mgcv,351.503
360000,10000,3.5074,mgcv,361.2033
370000,10000,3.1764,mgcv,370.9037
380000,10000,3.1869,mgcv,380.6042
390000,10000,2.7955,mgcv,390.3396
400000,10000,2.7874,mgcv,400.0402
410000,10000,2.6002,mgcv,409.7403
420000,10000,2.9531,mgcv,419.4409
430000,10000,2.9616,mgcv,429.1412
440000,10000,2.7252,mgcv,438.8415
450000,10000,2.7058,mgcv,448.5418
460000,10000,3.0864,mgcv,458.2422
470000,10000,3.2018,mgcv,467.9426
480000,10000,3.456,mgcv,477.6428
490000,10000,3.5675,mgcv,487.343
500000,10000,3.3666,mgcv,497.0437
510000,10000,3.2918,mgcv,506.7439
520000,10000,3.4512,mgcv,516.4442
530000,10000,3.1348,mgcv,534.5332
540000,10000,3.4307,mgcv,544.2335
550000,10000,3.57,mgcv,553.9337
560000,10000,3.5283,mgcv,563.6342
570000,10000,3.6759,mgcv,573.3346
580000,10000,3.7875,mgcv,583.0349
590000,10000,3.7585,mgcv,592.7353
600000,10000,3.7165,mgcv,602.4353
610000,10000,3.5486,mgcv,612.1359
620000,10000,4.2527,mgcv,621.8362
630000,10000,4.4205,mgcv,631.5367
640000,10000,4.2473,mgcv,641.2369
650000,10000,3.195,mgcv,650.937
660000,10000,3.1512,mgcv,660.6376
670000,10000,3.2508,mgcv,670.338
680000,10000,3.2791,mgcv,680.0383
690000,10000,3.5533,mgcv,689.7384
700000,10000,3.5254,mgcv,699.439
710000,10000,3.6218,mgcv,709.1393
720000,10000,3.7982,mgcv,718.8397
730000,10000,3.8644,mgcv,728.5398
740000,10000,3.3897,mgcv,738.2404
750000,10000,3.4386,mgcv,747.9407
760000,10000,3.3684,mgcv,757.641
770000,10000,3.7471,mgcv,767.3411
780000,10000,3.7944,mgcv,777.0419
790000,10000,4.2929,mgcv,786.7418
800000,10000,4.1257,mgcv,796.4421
810000,10000,4.0583,mgcv,806.1425
820000,10000,4.2519,mgcv,815.8428
830000,10000,3.9791,mgcv,825.5432
840000,10000,5.0231,mgcv,835.2434
850000,10000,4.2429,mgcv,844.9439
860000,10000,3.3021,mgcv,854.6442
870000,10000,3.4917,mgcv,864.3445
880000,10000,3.2845,mgcv,874.0449
890000,10000,3.4433,mgcv,883.7452
900000,10000,3.3404,mgcv,893.4454
910000,10000,3.7826,mgcv,903.1458
920000,10000,3.3547,mgcv,912.8462
930000,10000,3.437,mgcv,922.5466
940000,10000,3.427,mgcv,932.2469
950000,10000,3.408,mgcv,941.9473
960000,10000,3.4284,mgcv,951.6476
970000,10000,3.5671,mgcv,961.348
980000,10000,3.5472,mgcv,971.0483
990000,10000,3.7005,mgcv,980.7486
1000000,10000,3.5766,mgcv,990.4489
